,Name,Rating,Genre,Release date,Runtime,Director,Url
47,Jurassic World Dominion,70.0,"Adventure,Action,Science Fiction",06/10/2022,2h 27m,Colin Trevorrow,https://www.themoviedb.org/movie/507086
48,Avatar: The Way of Water,0.0,"Science Fiction,Action,Adventure",12/16/2022,3h 12m,James Cameron,https://www.themoviedb.org/movie/76600
49,Hocus Pocus 2,75.0,"Fantasy,Comedy,Family",09/30/2022,1h 47m,Anne Fletcher,https://www.themoviedb.org/movie/642885
50,Thor: Love and Thunder,67.0,"Fantasy,Action,Comedy",07/08/2022,1h 59m,Taika Waititi,https://www.themoviedb.org/movie/616037
51,Beast,70.0,"Thriller,Adventure,Horror",08/19/2022,1h 33m,Baltasar Kormákur,https://www.themoviedb.org/movie/760741
52,The School for Good and Evil,73.0,"Fantasy,Action,Drama",10/19/2022,2h 26m,Paul Feig,https://www.themoviedb.org/movie/779782
53,Wendell & Wild,68.0,"Animation,Comedy,Fantasy,Adventure",10/21/2022,1h 47m,Henry Selick,https://www.themoviedb.org/movie/511817
54,The Quintessential Quintuplets Movie,91.0,"Animation,Comedy,Romance",05/20/2022,2h 16m,Masato Jimbo,https://www.themoviedb.org/movie/820067
55,Spider-Man: No Way Home,80.0,"Action,Adventure,Science Fiction",12/17/2021,2h 28m,Jon Watts,https://www.themoviedb.org/movie/634649
56,Fullmetal Alchemist: The Final Alchemy,64.0,"Action,Adventure,Fantasy",06/24/2022,2h 23m,Fumihiko Sori,https://www.themoviedb.org/movie/960704
57,Barbie Epic Road Trip,77.0,"Comedy,Family,Animation",10/25/2022,37m,Conrad Helten,https://www.themoviedb.org/movie/1034470
58,My Father's Dragon,75.0,"Animation,Adventure,Family,Fantasy,Comedy",11/11/2022,1h 44m,Nora Twomey,https://www.themoviedb.org/movie/560052
59,Avatar,75.0,"Action,Adventure,Fantasy,Science Fiction",08/27/2010,2h 42m,James Cameron,https://www.themoviedb.org/movie/19995
60,Orphan: First Kill,68.0,"Horror,Thriller",10/17/2022,1h 39m,William Brent Bell,https://www.themoviedb.org/movie/760161
61,Prey,79.0,"Thriller,Action,Science Fiction",08/05/2022,1h 40m,Dan Trachtenberg,https://www.themoviedb.org/movie/766507
62,Top Gun: Maverick,83.0,"Action,Drama",05/27/2022,2h 11m,Joseph Kosinski,https://www.themoviedb.org/movie/361743
63,Spirited,73.0,Comedy,11/17/2022,2h 7m,Sean Anders,https://www.themoviedb.org/movie/632856
64,Madagascar: A Little Wild Holiday Goose Chase,53.0,"Animation,Comedy",11/26/2021,24m,Chad Van De Keere,https://www.themoviedb.org/movie/904039
65,Under Wraps 2,65.0,"Family,Fantasy,TV Movie",09/30/2022,1h 23m,Alex Zamm,https://www.themoviedb.org/movie/936061
66,Dragon Ball Super: Super Hero,80.0,"Animation,Science Fiction,Action",08/26/2022,1h 39m,Tetsuro Kodama,https://www.themoviedb.org/movie/610150
67,Watcher,63.0,"Mystery,Thriller,Horror",06/03/2022,1h 36m,Chloe Okuno,https://www.themoviedb.org/movie/807356
68,Cuando Sea Joven,90.0,"Comedy,Fantasy",09/14/2022,1h 55m,Raúl Martínez,https://www.themoviedb.org/movie/772071
69,The Infernal Machine,69.0,"Thriller,Mystery",12/02/2022,1h 47m,Andrew Hunt,https://www.themoviedb.org/movie/916605
70,The Bush,50.0,Thriller,08/18/2022,1h 27m,Sebastián Caulier,https://www.themoviedb.org/movie/960096
71,Men,63.0,"Horror,Thriller,Fantasy",06/01/2022,1h 40m,Alex Garland,https://www.themoviedb.org/movie/780609
72,The Takeover,58.0,"Action,Crime,Thriller",11/01/2022,1h 27m,Annemarie van de Mond,https://www.themoviedb.org/movie/944864
73,Sonic the Hedgehog 2,76.0,"Action,Adventure,Family,Comedy",04/08/2022,2h 2m,Jeff Fowler,https://www.themoviedb.org/movie/675353
74,Family Game,51.0,"Thriller,Drama",06/17/2022,1h 50m,Rafaël Ouellet,https://www.themoviedb.org/movie/848526
75,Secret Headquarters,0.0,"Science Fiction,Family,Action,Adventure",12/20/2022,1h 44m,Ariel Schulman,https://www.themoviedb.org/movie/791155
76,Minions: The Rise of Gru,75.0,"Animation,Comedy,Family",07/01/2022,1h 27m,Kyle Balda,https://www.themoviedb.org/movie/438148
77,Code Name Banshee,52.0,"Thriller,Action",07/14/2022,1h 33m,Jon Keeyes,https://www.themoviedb.org/movie/916719
78,Drifting Home,78.0,"Animation,Drama,Mystery,Fantasy,Family",09/16/2022,2h,Hiroyasu Ishida,https://www.themoviedb.org/movie/877957
79,Piggy,67.0,"Drama,Thriller,Horror",10/14/2022,1h 40m,Carlota Pereda,https://www.themoviedb.org/movie/848058
80,Luck,79.0,"Animation,Adventure,Comedy,Fantasy",08/05/2022,1h 45m,Peggy Holmes,https://www.themoviedb.org/movie/585511
81,Dog,74.0,"Drama,Comedy",02/18/2022,1h 42m,Channing Tatum,https://www.themoviedb.org/movie/626735
82,Athena,66.0,"Drama,Action,Thriller",09/09/2022,1h 37m,Romain Gavras,https://www.themoviedb.org/movie/852046
83,The Battle at Lake Changjin: Water Gate Bridge,66.0,"War,History,Action,Drama",02/01/2022,2h 29m,Tsui Hark,https://www.themoviedb.org/movie/928123
84,Batman and Superman: Battle of the Super Sons,80.0,"Animation,Action,Science Fiction",10/18/2022,1h 19m,Matt Peters,https://www.themoviedb.org/movie/886396
85,Jujutsu Kaisen 0,83.0,"Animation,Action,Fantasy",06/30/2022,1h 45m,Sunghoo Park,https://www.themoviedb.org/movie/810693
86,Legend of the Galactic Heroes: Die Neue These - Intrigue 1,63.0,,09/30/2022,null,null,https://www.themoviedb.org/movie/1030419
87,L.O.L. Surprise! Winter Fashion Show,79.0,Animation,10/24/2022,null,John Kafka,https://www.themoviedb.org/movie/1039627
88,Blowback,53.0,"Action,Thriller,Crime",11/17/2022,1h 33m,Tibor Takács,https://www.themoviedb.org/movie/972313
89,Black Adam: Saviour or Destroyer?,71.0,Documentary,10/16/2022,22m,null,https://www.themoviedb.org/movie/1040330
90,Samaritan,69.0,"Action,Drama,Science Fiction",08/25/2022,1h 42m,Julius Avery,https://www.themoviedb.org/movie/629176
91,DC League of Super-Pets,75.0,"Animation,Action,Family,Comedy,Science Fiction",07/29/2022,1h 45m,Jared Stern,https://www.themoviedb.org/movie/539681
92,After Ever Happy,70.0,"Romance,Drama",09/07/2022,1h 35m,Castille Landon,https://www.themoviedb.org/movie/744276
93,The Guardians of the Galaxy Holiday Special,75.0,"Comedy,Science Fiction,Adventure",11/25/2022,45m,James Gunn,https://www.themoviedb.org/movie/774752
94,Doctor Strange in the Multiverse of Madness,74.0,"Fantasy,Action,Adventure",05/06/2022,2h 6m,Sam Raimi,https://www.themoviedb.org/movie/453395
95,Turning Red,75.0,"Animation,Family,Comedy,Fantasy",03/10/2022,1h 40m,Domee Shi,https://www.themoviedb.org/movie/508947
96,So Cold the River,56.0,"Horror,Thriller",03/25/2022,1h 33m,Paul Shoulberg,https://www.themoviedb.org/movie/811061
97,The Stranger,61.0,"Crime,Drama,Mystery,Thriller",10/06/2022,1h 57m,Thomas M. Wright,https://www.themoviedb.org/movie/848791
98,Orgasm Inc: The Story of OneTaste,61.0,Documentary,11/05/2022,1h 29m,Sarah Gibson,https://www.themoviedb.org/movie/1040603
99,Crawlspace,68.0,Thriller,03/31/2022,1h 30m,L. Gustavo Cooper,https://www.themoviedb.org/movie/879538
100,Lou,67.0,"Action,Thriller,Drama",09/23/2022,1h 47m,Anna Foerster,https://www.themoviedb.org/movie/429473
101,Matriarch,53.0,Horror,10/21/2022,1h 25m,Ben Steiner,https://www.themoviedb.org/movie/1024535
102,Black Panther,74.0,"Action,Adventure,Science Fiction",02/16/2018,2h 15m,Ryan Coogler,https://www.themoviedb.org/movie/284054
103,Intergalactic Meeting,60.0,"Adventure,Science Fiction,Comedy",09/22/2022,1h 25m,Fabrício Bittar,https://www.themoviedb.org/movie/1006381
104,A Christmas Story Christmas,0.0,"Family,Comedy,Drama",12/08/2022,1h 38m,Clay Kaytis,https://www.themoviedb.org/movie/929340
105,The Twin,61.0,"Horror,Mystery",04/06/2022,1h 49m,Taneli Mustonen,https://www.themoviedb.org/movie/477462
106,Togo,65.0,"Crime,Drama",10/05/2022,1h 35m,Adrián Caetano,https://www.themoviedb.org/movie/884363
107,Sword Art Online the Movie -Progressive- Aria of a Starless Night,83.0,"Animation,Action,Fantasy,Science Fiction",10/30/2021,1h 37m,Ayako Kono,https://www.themoviedb.org/movie/761898
108,Doraemon: Nobita's Little Star Wars 2021,56.0,"Animation,Science Fiction,Adventure",03/04/2022,1h 48m,Susumu Yamaguchi,https://www.themoviedb.org/movie/782054
109,The Black Phone,79.0,"Horror,Thriller",06/24/2022,1h 43m,Scott Derrickson,https://www.themoviedb.org/movie/756999
110,Terrifier,66.0,"Horror,Thriller",08/17/2018,1h 24m,Damien Leone,https://www.themoviedb.org/movie/420634
111,Encanto,77.0,"Animation,Comedy,Family,Fantasy",11/24/2021,1h 42m,Byron Howard,https://www.themoviedb.org/movie/568124
112,Dracula: The Original Living Vampire,58.0,"Horror,Fantasy,Thriller",01/28/2022,1h 26m,Maximilian Elfeldt,https://www.themoviedb.org/movie/928015
113,The Addams Family,70.0,"Comedy,Fantasy",11/22/1991,1h 42m,Barry Sonnenfeld,https://www.themoviedb.org/movie/2907
114,Seoul Vibe,69.0,"Action,Crime,Comedy,Adventure",08/26/2022,2h 20m,Moon Hyun-sung,https://www.themoviedb.org/movie/773867
115,Inexorable,58.0,Thriller,04/06/2022,1h 38m,Fabrice Du Welz,https://www.themoviedb.org/movie/781099
116,Whisper,63.0,"Horror,Thriller",06/23/2022,1h 16m,Christopher Jolley,https://www.themoviedb.org/movie/928773
117,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,83.0,"Animation,Action,Adventure,Fantasy",08/13/2021,1h 57m,Haruo Sotozaki,https://www.themoviedb.org/movie/635302
118,Summer Ghost,77.0,"Animation,Drama,Mystery,Fantasy",11/12/2021,40m,loundraw,https://www.themoviedb.org/movie/798544
119,Polar,50.0,"Action,Adventure,Thriller",10/26/2022,1h 16m,Alberto Palma,https://www.themoviedb.org/movie/855440
120,20th Century Girl,87.0,"Romance,Drama",10/21/2022,1h 59m,Bang Woo-ri,https://www.themoviedb.org/movie/851644
121,20/20 Presents Black Panther: In Search of Wakanda,60.0,Documentary,11/04/2022,43m,David Hoffman,https://www.themoviedb.org/movie/1043835
122,Pinocchio,66.0,"Fantasy,Adventure,Family",09/08/2022,1h 45m,Robert Zemeckis,https://www.themoviedb.org/movie/532639
123,Falling for Christmas,66.0,"Romance,Comedy",11/10/2022,1h 35m,Janeen Damian,https://www.themoviedb.org/movie/833097
124,"Lagunas, la guarida del diablo",35.0,Horror,05/11/2022,null,Marc Carreté,https://www.themoviedb.org/movie/967892
125,The Batman,77.0,"Crime,Mystery,Thriller",03/04/2022,2h 57m,Matt Reeves,https://www.themoviedb.org/movie/414906
126,One Piece Film Red,74.0,"Animation,Adventure,Action,Fantasy",10/07/2022,1h 55m,Goro Taniguchi,https://www.themoviedb.org/movie/900667
127,An Argentinian crime,62.0,Thriller,08/25/2022,1h 53m,Lucas Combina,https://www.themoviedb.org/movie/941959
128,Hotel Transylvania: Transformania,71.0,"Animation,Comedy,Family,Fantasy,Adventure",02/25/2022,1h 27m,Jennifer Kluska,https://www.themoviedb.org/movie/585083
129,Christmas on Mistletoe Farm,57.0,"Family,Comedy",11/24/2022,1h 44m,Debbie Isitt,https://www.themoviedb.org/movie/1038627
